order_number,Rec_0,Rec_1,Rec_2,Rec_3,Rec_4,Rec_5,Rec_6,Rec_7,Rec_8,Rec_9,Rec_10,Rec_11,Rec_12,Rec_13,Rec_14
66334,"['Safety', 30.002000000000002]","['Material Handling', 20.1099]","['Cleaning', 18.2424]","['Lubrication', 17.418100000000003]","['Adhesives, Sealants and Tape', 17.3615]","['Hand Tools', 17.0087]","['Fasteners', 15.435400000000001]","['Electrical', 15.3809]","['Lighting', 14.1725]","['Power Tools', 13.738499999999998]","['Machining', 12.817599999999999]","['Abrasives', 12.797799999999999]","['Electronics, Appliances, and Batteries', 12.5092]","['Plumbing', 11.8215]","['Pneumatics', 11.812100000000001]"
66361,"['Material Handling', 77.65189999999997]","['Cleaning', 69.16740000000001]","['Safety', 68.98320000000001]","['Hand Tools', 52.18809999999998]","['Adhesives, Sealants and Tape', 50.01839999999999]","['Power Tools', 45.0165]","['Electrical', 44.86469999999999]","['HVAC and Refrigeration', 41.8636]","['Plumbing', 39.92029999999999]","['Lighting', 38.6533]","['Electronics, Appliances, and Batteries', 35.6202]","['Abrasives', 35.325399999999995]","['Machining', 34.11780000000001]","['Lubrication', 33.72229999999999]","['Paint, Equipment and Supplies', 32.8918]"
66619,"['Cleaning', 28.589299999999998]","['Safety', 23.168000000000003]","['Adhesives, Sealants and Tape', 17.5653]","['Hand Tools', 15.0127]","['Lubrication', 13.3976]","['Electronics, Appliances, and Batteries', 12.4149]","['Material Handling', 12.1986]","['Electrical', 11.900000000000002]","['Abrasives', 10.7765]","['Power Tools', 10.5828]","['Lighting', 10.135800000000001]","['Machining', 9.796199999999999]","['Paint, Equipment and Supplies', 9.4777]","['Plumbing', 9.3733]","['Pneumatics', 9.000300000000001]"
66768,"['Safety', 20.9209]","['Electronics, Appliances, and Batteries', 12.573]","['Adhesives, Sealants and Tape', 10.5486]","['Hand Tools', 10.3128]","['Cleaning', 9.687700000000001]","['Electrical', 7.012]","['Abrasives', 6.195499999999999]","['Power Tools', 6.075]","['Lighting', 5.988099999999999]","['Material Handling', 5.9673]","['Machining', 5.5273]","['Lubrication', 5.4222]","['Plumbing', 5.0889999999999995]","['Paint, Equipment and Supplies', 5.0336]","['Fasteners', 4.8148]"
66849,"['Safety', 15.2098]","['Cleaning', 7.2639]","['Adhesives, Sealants and Tape', 6.8231]","['Hand Tools', 6.5669]","['Lubrication', 5.2151]","['Electrical', 4.7715]","['Electronics, Appliances, and Batteries', 4.7492]","['Material Handling', 4.1899999999999995]","['Power Tools', 4.1588]","['Abrasives', 4.1449]","['Lighting', 3.7503]","['Machining', 3.7437]","['Plumbing', 3.4995000000000003]","['Paint, Equipment and Supplies', 3.359]","['Fasteners', 3.3279]"
66883,"['Cleaning', 36.4992]","['Safety', 26.384]","['Hand Tools', 16.616200000000003]","['Adhesives, Sealants and Tape', 16.395699999999998]","['Abrasives', 13.887799999999999]","['Electrical', 12.580200000000001]","['Electronics, Appliances, and Batteries', 12.551100000000002]","['Material Handling', 12.5398]","['Paint, Equipment and Supplies', 11.6465]","['Power Tools', 11.2524]","['Lubrication', 11.005600000000001]","['Machining', 10.5112]","['Plumbing', 9.803999999999998]","['Pneumatics', 9.535499999999999]","['Lighting', 9.5104]"
66916,"['Hand Tools', 21.788700000000002]","['Power Tools', 9.941600000000001]","['Safety', 9.2091]","['Adhesives, Sealants and Tape', 8.4285]","['Cleaning', 8.4015]","['Electrical', 7.6413]","['Electronics, Appliances, and Batteries', 6.973800000000001]","['Material Handling', 6.5412]","['Machining', 6.2858]","['Abrasives', 6.195]","['Lubrication', 6.0741]","['Lighting', 5.9444]","['Fasteners', 5.155099999999999]","['Pneumatics', 5.1494]","['Paint, Equipment and Supplies', 4.9817]"
67077,"['Safety', 29.2567]","['Fasteners', 18.205800000000004]","['Welding', 17.8453]","['Cleaning', 17.7588]","['Adhesives, Sealants and Tape', 16.9892]","['Hand Tools', 16.2601]","['Abrasives', 15.3505]","['Electrical', 14.1939]","['Lubrication', 13.739700000000001]","['Electronics, Appliances, and Batteries', 13.616700000000002]","['Power Tools', 13.131499999999999]","['Material Handling', 13.019100000000002]","['Pneumatics', 12.718100000000002]","['Machining', 12.302900000000001]","['Plumbing', 11.5882]"
67226,"['Hand Tools', 87.9634]","['Safety', 81.34429999999999]","['Cleaning', 73.35309999999998]","['Adhesives, Sealants and Tape', 57.07919999999999]","['Material Handling', 47.6801]","['Electronics, Appliances, and Batteries', 45.95610000000001]","['Paint, Equipment and Supplies', 43.28429999999999]","['Abrasives', 42.863899999999994]","['Electrical', 42.8524]","['Power Tools', 42.366499999999995]","['Lubrication', 39.255900000000004]","['Machining', 36.427400000000006]","['Lighting', 35.492200000000004]","['Plumbing', 34.21770000000001]","['Pneumatics', 32.02439999999999]"
67250,"['Hand Tools', 14.2492]","['Cleaning', 11.618899999999996]","['Safety', 11.570999999999998]","['Material Handling', 9.316899999999999]","['Power Tools', 8.9307]","['Adhesives, Sealants and Tape', 8.7589]","['Electrical', 8.0886]","['Lighting', 7.5832000000000015]","['Abrasives', 7.192899999999999]","['Machining', 7.1239]","['Lubrication', 6.6899]","['Electronics, Appliances, and Batteries', 6.596]","['Pneumatics', 6.3994]","['Plumbing', 5.6898]","['Fasteners', 5.575699999999999]"
